Decisiones super causis praecipuis ad summum tribunal regium Vismariense delatis (cura Johann Jacob von Ryssel),15,decisio causa praecipuus summus tribunal regius uismariense delatus curo iohannis iacob ryssel,12
Aller der Heil Roem Reichs gehaltene Reichstage Abschiede und Saetzungen...1356-1654,10,heilig roma reich gehalten reich tag abschied satzung,8
Tractatus de commissariis et commissionibus camera imperiali,7,tractatus commissarus commissio cammer imperium,5
Corpus constitutionum imperialium,3,corpus constitutio imperium,3
Consilia sive juris responsa,4,consilium jus responsum,3
Processus juris in foro Saxonico,5,processus2 jus forum saxonicus,4
Des heiligen Roemischen Richs Abschied von Ahnfang bis auffs Jahr 1559,11,heilig roma reich abschied anfang,5
"""Acta In Sachen die... Marpurgische Succession belangendt Zwischen den... Herrn... Gebruedern, Landgraffen zu Hessen... Kla¨gern an einem, So dann dem... Herrn Moritzen, Landgraffen zu Hessen... Beklagten am andern Theyl""",29,actum sache marburg successio belangend herr gebrüder land graf hesse klaeger moritz beklagt teil,14
Cammergerichts Bey und End urthail : Selectissimarum sententiarum in imperialis. cameræ judicio ab anno 1495 usq. ad annum 1570,19,cammer gericht end urteil selectus sententia imperium cammer judicium annum annus,11
Decisiones Diversarvm Cavsarvm In Camera Imperiali Ivdicatarvm Adivnctis Relationibus Actorum,10,decisio diuersus causa cammer imperium judico adjungo relatio actum,9
Alte Hessische Hofgerichts Ordnung von Herrn Landgraft Philipps zu Hessen,10,alt hesse hof gericht ordnung herr land graf philipp hesse,10
Corpus juris civilis cum notis Gothofredi,6,corpus jus civilis1 nota gothofredus,5
"""Biblia, Das ist Die gantze H. Schrifft, Alten und Neuen Testaments""",11,biblia schrift alt testament,4
Corpus juris canonici emendatum et illustratum,6,corpus jus canonicus emendatus illustratio,5
"""Processus cameralis ex ordinationibus cameralibus recessibus imperii, recessibus et memorialibus visitationum : consulte camerae eiusdemque communibus decretis ac praecipuis rerum cameralium scriptoribus""",22,processus2 cammer ordinatio cameralis recessus2 imperium memorial uisitatio consulo cammer communis decretum praecipuus res cameralis scriptor,16
"""Tractatus de judiciis, in libros IV divisus : Quo judiciorum natura in genere & processus judiciarius in specie accuratißime ex Jure Civili, Canonico, Receßibus Imperii & moribus hodiernis traditur & explicatur""",31,tractatus judicium liber4 divido judicium natura gener processus2 iudiciarius species accuratus jus civilis1 canonicus recessus2 imperium mos hodiernus trado explico,20
Observationes practicae,2,obseruatio practicus,2
Decretales epistole ... : additi sunt ... casus bernardi glossatoris ... index Ludouici Bolognini ... Recognitus,16,decretales epistula addo casus1 bernardus glossator index ludouicus bolognini recognitus,10
Decretum. Argume[n]tum plenissimu[m] Decreti huius/ omnia que in eo continentur abunde complectens. Decretum Gratiani/ necnon diuisiones domini Archidiaconi. Arbor consanguinitatis [et] affinitatis ... Penitentiales canones adduntur ... Adiectas insup[er] literas rubro colore impressas ... inuenies: que ad alias textui insertas ... lectorem dirigunt,43,decretum argumentum plenus decretum omne contineo abundus complector gratianus nec non divisio dominus archidiaconus arbor1 consanguinitas affinitas penitentialis canon addo adicio insuper littera rubrus color imprimo invenio alius2 textus insero2 lector dirigo,32
"""Pandectarum seu Digestorum juris civilis [Justiniani] tomus primus, quod vulgo Digestum vetus appellant, ab Egidio Perrino,... denuo recognitus et scholiis illustratus... [Accedunt jurisconsultorum et nomina et libri ex quibus Pandecte consarcinate sunt, auctore Angelo Politiano]""",35,pandectes digestum jus civilis1 justinianus tomus primus vulgo2 digestum vetus appello egidio perrino denuo recognitus scholium illustro accedo jurisconsultus nomino liber4 pandectae consarcinare auctor angelus politiano,26
Pandect juris civil,3,pandectae jus civilis1,3
Infortiat sive pandect juris civil,5,infortiatum pandectae jus civilis1,4
Decretalium libri 6,3,decretales liber4,2
Codex Justiniana  vetustorum exemplarium fidem diligentissime,6,codex justinianus vetustus exemplar fides1 diligens,6
Imperatoris Justiniani volumen legum ad doctorum vivorum annotationes [antiquum] codicum collationes,11,imperator justinianus uolumen lex doctor vivus annotatio antiquus codex collatio,10
"""Pandectæ Camerales, ex novis constitutionibus Imperii ... Editio tertia, ... accessionibus adornata [by S. P. Zubrodt]""",16,pandectae cameralis novus constitutio imperium editio tertius accessio adorno zubrodt,10
